seed,simulate,simulate.scenario,simulate.output.file,fit,fit.output.file,mse.err
17,zh,3,zh/zh_67,ridge,ridge/zh_67_ridge_1,260.764101249895
17,zh,4,zh/zh_68,ridge,ridge/zh_68_ridge_1,283.831562728681
18,zh,1,zh/zh_69,ridge,ridge/zh_69_ridge_1,14.204038728247
18,zh,2,zh/zh_70,ridge,ridge/zh_70_ridge_1,13.6887878775509
18,zh,3,zh/zh_71,ridge,ridge/zh_71_ridge_1,277.099280359254
18,zh,4,zh/zh_72,ridge,ridge/zh_72_ridge_1,252.324451576897
19,zh,1,zh/zh_73,ridge,ridge/zh_73_ridge_1,11.5079720164531
19,zh,2,zh/zh_74,ridge,ridge/zh_74_ridge_1,11.1028831278817
19,zh,3,zh/zh_75,ridge,ridge/zh_75_ridge_1,231.465687307266
19,zh,4,zh/zh_76,ridge,ridge/zh_76_ridge_1,258.937219314191
20,zh,1,zh/zh_77,ridge,ridge/zh_77_ridge_1,12.8027460251359
20,zh,2,zh/zh_78,ridge,ridge/zh_78_ridge_1,12.6033894384715
20,zh,3,zh/zh_79,ridge,ridge/zh_79_ridge_1,244.791489330948
20,zh,4,zh/zh_80,ridge,ridge/zh_80_ridge_1,300.330760105132
21,zh,1,zh/zh_81,ridge,ridge/zh_81_ridge_1,10.3653780570031
21,zh,2,zh/zh_82,ridge,ridge/zh_82_ridge_1,10.2377313148539
21,zh,3,zh/zh_83,ridge,ridge/zh_83_ridge_1,265.64410655734
21,zh,4,zh/zh_84,ridge,ridge/zh_84_ridge_1,282.659770229697
22,zh,1,zh/zh_85,ridge,ridge/zh_85_ridge_1,9.8808032747382
22,zh,2,zh/zh_86,ridge,ridge/zh_86_ridge_1,9.39411072571162
22,zh,3,zh/zh_87,ridge,ridge/zh_87_ridge_1,233.627180147033
22,zh,4,zh/zh_88,ridge,ridge/zh_88_ridge_1,278.344657052219
23,zh,1,zh/zh_89,ridge,ridge/zh_89_ridge_1,10.2651413472698
23,zh,2,zh/zh_90,ridge,ridge/zh_90_ridge_1,10.1818373005244
23,zh,3,zh/zh_91,ridge,ridge/zh_91_ridge_1,248.933727817562
23,zh,4,zh/zh_92,ridge,ridge/zh_92_ridge_1,287.742775699572
24,zh,1,zh/zh_93,ridge,ridge/zh_93_ridge_1,14.4517066924113
24,zh,2,zh/zh_94,ridge,ridge/zh_94_ridge_1,13.352049327577
24,zh,3,zh/zh_95,ridge,ridge/zh_95_ridge_1,258.627263226954
24,zh,4,zh/zh_96,ridge,ridge/zh_96_ridge_1,300.001126861195
25,zh,1,zh/zh_97,ridge,ridge/zh_97_ridge_1,12.4932791843958
25,zh,2,zh/zh_98,ridge,ridge/zh_98_ridge_1,11.1610580296643
25,zh,3,zh/zh_99,ridge,ridge/zh_99_ridge_1,236.599476383298
25,zh,4,zh/zh_100,ridge,ridge/zh_100_ridge_1,280.651321745262
26,zh,1,zh/zh_101,ridge,ridge/zh_101_ridge_1,10.5339512551964
26,zh,2,zh/zh_102,ridge,ridge/zh_102_ridge_1,10.1770820565755
26,zh,3,zh/zh_103,ridge,ridge/zh_103_ridge_1,218.311965908467
26,zh,4,zh/zh_104,ridge,ridge/zh_104_ridge_1,250.177291186894
27,zh,1,zh/zh_105,ridge,ridge/zh_105_ridge_1,14.0822575833933
27,zh,2,zh/zh_106,ridge,ridge/zh_106_ridge_1,10.8825991852518
27,zh,3,zh/zh_107,ridge,ridge/zh_107_ridge_1,247.555650918614
27,zh,4,zh/zh_108,ridge,ridge/zh_108_ridge_1,230.024273682957
28,zh,1,zh/zh_109,ridge,ridge/zh_109_ridge_1,10.0601899281275
28,zh,2,zh/zh_110,ridge,ridge/zh_110_ridge_1,9.94395066759077
28,zh,3,zh/zh_111,ridge,ridge/zh_111_ridge_1,266.586981187145
28,zh,4,zh/zh_112,ridge,ridge/zh_112_ridge_1,283.431975321234
29,zh,1,zh/zh_113,ridge,ridge/zh_113_ridge_1,11.0323323516783
29,zh,2,zh/zh_114,ridge,ridge/zh_114_ridge_1,11.2767593410051
29,zh,3,zh/zh_115,ridge,ridge/zh_115_ridge_1,248.755439026012
29,zh,4,zh/zh_116,ridge,ridge/zh_116_ridge_1,270.530381054344
30,zh,1,zh/zh_117,ridge,ridge/zh_117_ridge_1,8.42318231687797
30,zh,2,zh/zh_118,ridge,ridge/zh_118_ridge_1,7.88794342869131
30,zh,3,zh/zh_119,ridge,ridge/zh_119_ridge_1,272.39428832741
30,zh,4,zh/zh_120,ridge,ridge/zh_120_ridge_1,249.941171310303
31,zh,1,zh/zh_121,ridge,ridge/zh_121_ridge_1,8.5872002448149
31,zh,2,zh/zh_122,ridge,ridge/zh_122_ridge_1,9.73444560457748
31,zh,3,zh/zh_123,ridge,ridge/zh_123_ridge_1,278.103150171554
31,zh,4,zh/zh_124,ridge,ridge/zh_124_ridge_1,274.392937363191
32,zh,1,zh/zh_125,ridge,ridge/zh_125_ridge_1,12.4205071261163
32,zh,2,zh/zh_126,ridge,ridge/zh_126_ridge_1,10.3477359652655
32,zh,3,zh/zh_127,ridge,ridge/zh_127_ridge_1,255.475678504233
32,zh,4,zh/zh_128,ridge,ridge/zh_128_ridge_1,258.444792622283
33,zh,1,zh/zh_129,ridge,ridge/zh_129_ridge_1,8.94011960227201
33,zh,2,zh/zh_130,ridge,ridge/zh_130_ridge_1,9.33916136455473
33,zh,3,zh/zh_131,ridge,ridge/zh_131_ridge_1,249.858343750124
33,zh,4,zh/zh_132,ridge,ridge/zh_132_ridge_1,257.05038591091
34,zh,1,zh/zh_133,ridge,ridge/zh_133_ridge_1,11.3218402359937
34,zh,2,zh/zh_134,ridge,ridge/zh_134_ridge_1,10.610705825208
34,zh,3,zh/zh_135,ridge,ridge/zh_135_ridge_1,204.86689381191
34,zh,4,zh/zh_136,ridge,ridge/zh_136_ridge_1,284.036062102467
35,zh,1,zh/zh_137,ridge,ridge/zh_137_ridge_1,10.4393223142003
35,zh,2,zh/zh_138,ridge,ridge/zh_138_ridge_1,9.88652925228606
35,zh,3,zh/zh_139,ridge,ridge/zh_139_ridge_1,238.485755149121
35,zh,4,zh/zh_140,ridge,ridge/zh_140_ridge_1,310.064215949439
36,zh,1,zh/zh_141,ridge,ridge/zh_141_ridge_1,14.1270984830878
36,zh,2,zh/zh_142,ridge,ridge/zh_142_ridge_1,11.747284401174
36,zh,3,zh/zh_143,ridge,ridge/zh_143_ridge_1,222.896514763912
